# sector mappings
sector,en,,Information Technology and Services,Digital Tech
sector,en,,Computer Software,Digital Tech
sector,en,,Internet,Digital Tech
sector,en,,Computer Networking,Digital Tech
sector,en,,Computer Hardware,Digital Tech
sector,en,,Online Media,Digital Tech
sector,en,,Computer & Network Security,Digital Tech
sector,en,,Computer Games,Digital Tech
sector,en,,E-Learning,Digital Tech
sector,en,,Animation,Digital Tech
sector,en,,Program Development,Digital Tech
sector,en,,Software,Digital Tech
#
# skill mappings
#
skill,en,,Sql,SQL
skill,en,,Itil,ITIL
skill,en,,It Service Management,IT Service Management
skill,en,,Microsoft Sql Server,Microsoft SQL Server
skill,en,,Html,HTML
skill,en,,It Strategy,IT Strategy
skill,en,,Css,CSS
skill,en,,Xml,XML
skill,en,,Crm,CRM
skill,en,,Saas,SAAS
skill,en,,Mysql,MySQL
skill,en,,Vmware,VMware
skill,en,,Php,PHP
skill,en,,It Management,IT Management
skill,en,,Pmo,PMO
skill,en,,Ms Project,Microsoft Project
skill,en,,Sdlc,SDLC
skill,en,,Dns,DNS
skill,en,,Windows Xp,Windows XP
skill,en,,Dhcp,DHCP
skill,en,,Vpn,VPN
skill,en,,Ip,IP
skill,en,,Oop,OOP
skill,en,,Asp.Net Mvc,ASP.NET MVC
skill,en,,Uml,UML
skill,en,,Html 5,HTML 5
skill,en,,Vb.Net,VB.NET
skill,en,,Wcf,WCF
skill,en,,Linq,LINQ
skill,en,,T Sql,T-SQL
# deleted skills
skill,en,Digital Tech,Construction,
#
# company mappings
#
company,en,,HP,Hewlett-Packard
company,en,,Hewlett Packard Enterprise,Hewlett-Packard
company,en,,HP Enterprise Services,Hewlett-Packard
company,en,,Fujitsu Services,Fujitsu
company,en,,Fujitsu UK and Ireland,Fujitsu
company,en,,IBM United Kingdom Ltd,IBM
company,en,,IBM Global Business Services,IBM
company,en,,Capgemini Consulting,Capgemini
company,en,,Mace Group,Mace
company,en,,"Rackspace, the #1 managed cloud company",Rackspace
# deleted companies
company,en,,None,
company,en,,Retired and enjoying time to pursue personal interests and family,
company,en,,Not Applicable,
company,en,,Self Employed Independent Peoplesoft Consultant,
company,en,Digital Tech,Primary School,
company,en,,No-Company,
company,en,,NA,
company,en,,Self,
company,en,,Unemployed,
